Parameters: 413508 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 1.6590	 mIOU(val) = 0.2914	 best_mIOU_val(val) = 0.2914	 best_mIOU_per_class(val) = [[0.6986302016167081, 0.8480652464974974, 0.0, 0.20159837420665963, 0.0, 0.0]]	 best_acc(val) = 0.3574	 lr= 0.001000 

Epoch No.: 1	Train Loss = 1.3666	 mIOU(val) = 0.3103	 best_mIOU_val(val) = 0.3103	 best_mIOU_per_class(val) = [[0.6810377690241401, 0.8564444049336736, 0.0, 0.32403911966638205, 0.0, 0.0]]	 best_acc(val) = 0.3832	 lr= 0.001000 

Epoch No.: 2	Train Loss = 1.2552	 mIOU(val) = 0.2883	 best_mIOU_val(val) = 0.3103	 best_mIOU_per_class(val) = [[0.6810377690241401, 0.8564444049336736, 0.0, 0.32403911966638205, 0.0, 0.0]]	 best_acc(val) = 0.3832	 lr= 0.001000 

Epoch No.: 3	Train Loss = 1.1880	 mIOU(val) = 0.3557	 best_mIOU_val(val) = 0.3557	 best_mIOU_per_class(val) = [[0.7363221302636029, 0.856474305996165, 0.0, 0.20683771522777974, 0.0, 0.3348370061801674]]	 best_acc(val) = 0.4362	 lr= 0.001000 

Epoch No.: 4	Train Loss = 1.1895	 mIOU(val) = 0.3594	 best_mIOU_val(val) = 0.3594	 best_mIOU_per_class(val) = [[0.741550333033538, 0.8544449994209992, 0.0, 0.20259758699556388, 0.0, 0.35795124326531896]]	 best_acc(val) = 0.4362	 lr= 0.001000 

Epoch No.: 5	Train Loss = 1.1715	 mIOU(val) = 0.3726	 best_mIOU_val(val) = 0.3726	 best_mIOU_per_class(val) = [[0.7324031567051251, 0.8648552091981785, 0.0, 0.3215265293361093, 0.0, 0.31679821093964977]]	 best_acc(val) = 0.4433	 lr= 0.000920 

Epoch No.: 6	Train Loss = 1.1604	 mIOU(val) = 0.3811	 best_mIOU_val(val) = 0.3811	 best_mIOU_per_class(val) = [[0.7136634286089484, 0.858849731799867, 0.0, 0.3678189609174512, 0.0, 0.346388715050357]]	 best_acc(val) = 0.4611	 lr= 0.000920 

Epoch No.: 7	Train Loss = 1.1609	 mIOU(val) = 0.3971	 best_mIOU_val(val) = 0.3971	 best_mIOU_per_class(val) = [[0.7430097213642423, 0.8652158160079091, 0.0, 0.3716175161672792, 0.0, 0.40264935161584403]]	 best_acc(val) = 0.4854	 lr= 0.000920 

Epoch No.: 8	Train Loss = 1.1459	 mIOU(val) = 0.3802	 best_mIOU_val(val) = 0.3971	 best_mIOU_per_class(val) = [[0.7430097213642423, 0.8652158160079091, 0.0, 0.3716175161672792, 0.0, 0.40264935161584403]]	 best_acc(val) = 0.4854	 lr= 0.000920 

Epoch No.: 9	Train Loss = 1.1307	 mIOU(val) = 0.3909	 best_mIOU_val(val) = 0.3971	 best_mIOU_per_class(val) = [[0.7430097213642423, 0.8652158160079091, 0.0, 0.3716175161672792, 0.0, 0.40264935161584403]]	 best_acc(val) = 0.4854	 lr= 0.000920 

Epoch No.: 10	Train Loss = 1.1314	 mIOU(val) = 0.4033	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.4917	 lr= 0.000846 

Epoch No.: 11	Train Loss = 1.1205	 mIOU(val) = 0.3934	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000846 

