Parameters: 413588 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3818	 mIOU(val) = 0.0952	 best_mIOU_val(val) = 0.0952	 best_mIOU_per_class(val) = [[np.float64(0.014715495151285894), np.float64(0.019109557795045223), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6185790196145735), np.float64(0.0), np.float64(0.39454647191605574), np.float64(0.0), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.1752	 lr= 0.001000 

Epoch No.: 1	Train Loss = 1.6720	 mIOU(val) = 0.2447	 best_mIOU_val(val) = 0.2447	 best_mIOU_per_class(val) = [[np.float64(0.77683302732341), np.float64(0.5204781393126747), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7731769284667351), np.float64(0.013895814946610288), np.float64(0.6078396706033962), np.float64(0.0), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3115	 lr= 0.001000 

Epoch No.: 2	Train Loss = 1.6095	 mIOU(val) = 0.2675	 best_mIOU_val(val) = 0.2675	 best_mIOU_per_class(val) = [[np.float64(0.8228544094676805), np.float64(0.5964925916578997), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.808803986011926), np.float64(0.08208855863617807), np.float64(0.6226717160643427), np.float64(0.009805850109315197), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3301	 lr= 0.001000 

Epoch No.: 3	Train Loss = 1.6008	 mIOU(val) = 0.2336	 best_mIOU_val(val) = 0.2675	 best_mIOU_per_class(val) = [[np.float64(0.8228544094676805), np.float64(0.5964925916578997), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.808803986011926), np.float64(0.08208855863617807), np.float64(0.6226717160643427), np.float64(0.009805850109315197), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3301	 lr= 0.001000 

Epoch No.: 4	Train Loss = 1.5680	 mIOU(val) = 0.3153	 best_mIOU_val(val) = 0.3153	 best_mIOU_per_class(val) = [[np.float64(0.8574915729853166), np.float64(0.6243995593588646), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8235230225763635), np.float64(0.11685852884504229), np.float64(0.7089836296948786), np.float64(0.3375781857295226), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3806	 lr= 0.001000 

Epoch No.: 5	Train Loss = 1.5620	 mIOU(val) = 0.3215	 best_mIOU_val(val) = 0.3215	 best_mIOU_per_class(val) = [[np.float64(0.8361961591251234), np.float64(0.6320188010495248), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8215232449249337), np.float64(0.16975602059130984), np.float64(0.69956475070134), np.float64(0.3769855185811237), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3863	 lr= 0.001000 

Epoch No.: 6	Train Loss = 1.5431	 mIOU(val) = 0.3240	 best_mIOU_val(val) = 0.3240	 best_mIOU_per_class(val) = [[np.float64(0.8467127342723239), np.float64(0.5998988587133471), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8213742143407932), np.float64(0.22047545690273737), np.float64(0.6987413206814977), np.float64(0.3764579115783974), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3949	 lr= 0.001000 

