Parameters: 405492 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3669	 mIOU(val) = 0.0672	 best_mIOU_val(val) = 0.0672	 best_mIOU_per_class(val) = [[0.0001742123545814423, 0.0007093032459653094, 0.0, 0.0, 0.0, 0.47749144571499624, 0.0, 0.26114283586366793, 0.0, 0.0, 0.0]]	 best_acc(val) = 0.1361	 lr= 0.001000 

Epoch No.: 1	Train Loss = 1.6454	 mIOU(val) = 0.2302	 best_mIOU_val(val) = 0.2302	 best_mIOU_per_class(val) = [[0.7798925415357557, 0.47706948885986195, 0.0, 0.0, 0.0, 0.7887229485392926, 0.0010343109754141662, 0.48496453562128017, 0.0, 0.0, 0.0]]	 best_acc(val) = 0.3027	 lr= 0.001000 

Epoch No.: 2	Train Loss = 1.6120	 mIOU(val) = 0.2833	 best_mIOU_val(val) = 0.2833	 best_mIOU_per_class(val) = [[0.8315580542804926, 0.5815295512142911, 0.0, 0.0, 0.0, 0.8194829352160274, 0.11527591308056903, 0.6368829415055444, 0.13165641240482925, 0.0, 0.0]]	 best_acc(val) = 0.3482	 lr= 0.001000 

Epoch No.: 3	Train Loss = 1.5971	 mIOU(val) = 0.2988	 best_mIOU_val(val) = 0.2988	 best_mIOU_per_class(val) = [[0.7776260606403942, 0.5745458793430794, 0.0, 0.0, 0.0, 0.8120139238693294, 0.1436810433774438, 0.6745701151757963, 0.30448546424811385, 0.0, 0.0]]	 best_acc(val) = 0.3652	 lr= 0.001000 

Epoch No.: 4	Train Loss = 1.5619	 mIOU(val) = 0.3213	 best_mIOU_val(val) = 0.3213	 best_mIOU_per_class(val) = [[0.8436523537069135, 0.628804524576612, 0.0, 0.0, 0.0, 0.8288066912499022, 0.18808073767045358, 0.720284891030881, 0.32449038755933884, 0.0, 0.0]]	 best_acc(val) = 0.3878	 lr= 0.001000 

Epoch No.: 5	Train Loss = 1.5310	 mIOU(val) = 0.3139	 best_mIOU_val(val) = 0.3213	 best_mIOU_per_class(val) = [[0.8436523537069135, 0.628804524576612, 0.0, 0.0, 0.0, 0.8288066912499022, 0.18808073767045358, 0.720284891030881, 0.32449038755933884, 0.0, 0.0]]	 best_acc(val) = 0.3937	 lr= 0.001000 

Epoch No.: 6	Train Loss = 1.5129	 mIOU(val) = 0.3024	 best_mIOU_val(val) = 0.3213	 best_mIOU_per_class(val) = [[0.8436523537069135, 0.628804524576612, 0.0, 0.0, 0.0, 0.8288066912499022, 0.18808073767045358, 0.720284891030881, 0.32449038755933884, 0.0, 0.0]]	 best_acc(val) = 0.3937	 lr= 0.001000 

Epoch No.: 7	Train Loss = 1.5004	 mIOU(val) = 0.3465	 best_mIOU_val(val) = 0.3465	 best_mIOU_per_class(val) = [[0.8640079116602409, 0.6589300360276026, 0.0, 0.0, 0.0, 0.8377104998118656, 0.2663727950349286, 0.7188319351614658, 0.4316201730690515, 0.034101718495300436, 0.0]]	 best_acc(val) = 0.4111	 lr= 0.001000 

Epoch No.: 8	Train Loss = 1.4760	 mIOU(val) = 0.3573	 best_mIOU_val(val) = 0.3573	 best_mIOU_per_class(val) = [[0.8442229449276948, 0.6383955481134355, 0.0, 0.0, 0.0, 0.8478645215430369, 0.427972163966335, 0.7147830708048926, 0.4170931988584753, 0.04047824942662706, 0.0]]	 best_acc(val) = 0.4307	 lr= 0.001000 

Epoch No.: 9	Train Loss = 1.4664	 mIOU(val) = 0.3516	 best_mIOU_val(val) = 0.3573	 best_mIOU_per_class(val) = [[0.8442229449276948, 0.6383955481134355, 0.0, 0.0, 0.0, 0.8478645215430369, 0.427972163966335, 0.7147830708048926, 0.4170931988584753, 0.04047824942662706, 0.0]]	 best_acc(val) = 0.4307	 lr= 0.001000 

Epoch No.: 10	Train Loss = 1.4580	 mIOU(val) = 0.3652	 best_mIOU_val(val) = 0.3652	 best_mIOU_per_class(val) = [[0.8538672170020947, 0.6512135587220833, 0.0, 0.0, 0.0, 0.8454201105245487, 0.42950784813646375, 0.7343525301275413, 0.4230145594955025, 0.08036656726206946, 0.0]]	 best_acc(val) = 0.4450	 lr= 0.000920 

Epoch No.: 11	Train Loss = 1.4603	 mIOU(val) = 0.3643	 best_mIOU_val(val) = 0.3652	 best_mIOU_per_class(val) = [[0.8538672170020947, 0.6512135587220833, 0.0, 0.0, 0.0, 0.8454201105245487, 0.42950784813646375, 0.7343525301275413, 0.4230145594955025, 0.08036656726206946, 0.0]]	 best_acc(val) = 0.4506	 lr= 0.000920 

Epoch No.: 12	Train Loss = 1.4405	 mIOU(val) = 0.3711	 best_mIOU_val(val) = 0.3711	 best_mIOU_per_class(val) = [[0.8670573061086897, 0.6422526280855188, 0.0, 0.0, 0.0, 0.860368394376869, 0.40578890611726476, 0.7433277371994028, 0.47536457844150154, 0.0883087298197363, 0.0]]	 best_acc(val) = 0.4506	 lr= 0.000920 

Epoch No.: 13	Train Loss = 1.4374	 mIOU(val) = 0.3831	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 14	Train Loss = 1.4326	 mIOU(val) = 0.3765	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 15	Train Loss = 1.4358	 mIOU(val) = 0.3735	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 16	Train Loss = 1.4241	 mIOU(val) = 0.3818	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 17	Train Loss = 1.4224	 mIOU(val) = 0.3782	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 18	Train Loss = 1.4224	 mIOU(val) = 0.3815	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 19	Train Loss = 1.4208	 mIOU(val) = 0.3670	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000920 

Epoch No.: 20	Train Loss = 1.4197	 mIOU(val) = 0.3777	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

Epoch No.: 21	Train Loss = 1.4131	 mIOU(val) = 0.3781	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

Epoch No.: 22	Train Loss = 1.4105	 mIOU(val) = 0.3787	 best_mIOU_val(val) = 0.3831	 best_mIOU_per_class(val) = [[0.8707558170869734, 0.6641553125187056, 0.0, 0.0, 4.1770570961934475e-06, 0.8569080857878383, 0.4646754973346754, 0.7493807141502122, 0.5281756717511688, 0.07970506800681752, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

Epoch No.: 23	Train Loss = 1.4156	 mIOU(val) = 0.3932	 best_mIOU_val(val) = 0.3932	 best_mIOU_per_class(val) = [[0.877063475583703, 0.6663155984862885, 0.06516363000830165, 0.0, 0.028733490181462415, 0.8818624859933838, 0.4620897934989154, 0.7440945384659651, 0.5328641401953264, 0.06731055480981947, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

Epoch No.: 24	Train Loss = 1.4104	 mIOU(val) = 0.3953	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

Epoch No.: 25	Train Loss = 1.4118	 mIOU(val) = 0.3886	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4727	 lr= 0.000846 

